,text,time,lang,country,retweets,favorites
78,"this is a fantastic article &amp; i know the whole hamilton soundtrack by heart. yes, both are possible.

https://t.co/WJ84NgSt7c",Mon Jul 25 15:00:07 +0000 2016,en,,0,0
79,Ford Connects With Apple And Android https://t.co/w9QtYhRS42 #investing #ideas,Mon Jul 25 15:00:07 +0000 2016,en,,0,0
80,"Fantastic article by @FergalMcFerran. ""Dear Westminster, you could actually learn something from Students' Unions'"" https://t.co/v0qiJPghXI",Mon Jul 25 15:00:07 +0000 2016,en,,0,0
83,Here's why we need Donald Trump's philosophy on trade.  China exports growing | Furniture Today: https://t.co/OVG7QV5gh0,Mon Jul 25 15:00:07 +0000 2016,en,,0,0
86,Interesting insight into communicating in a divisive world: https://t.co/o2L9ttmalR #contentstrategy,Mon Jul 25 15:00:07 +0000 2016,en,,0,0
88,Interesting article on how to fight #poverty  https://t.co/mvIBt2xKDj,Mon Jul 25 15:00:07 +0000 2016,en,,0,0
89,The Secret Documents That Detail How Patients’ Privacy is Breached  https://t.co/OtvyvKXbsk #databreaches #HIPAA,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
90,How to interpret the new polls showing Donald Trump ahead of Hillary Clinton?  https://t.co/BWrEvomGDe via @voxdotcom,Mon Jul 25 15:00:07 +0000 2016,en,,0,0
91,Servomotors for demanding motion control applications https://t.co/TuWlORQszv  @controleng,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
92,Dealing With the Growing Pains of Running (Plus Free Song Playlist!) https://t.co/Phoo8HKCqh #fitfam https://t.co/udCaogDG99,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
93,RT @InfoFevRovers: Rovers on TV https://t.co/iKdE9y7Hbj,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
94,RT @AislingTax: Now @IrishTimes previous article looks interesting https://t.co/l3zPYgMkl0 Section 8 might not be invoked https://t.co/9yug…,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
95,RT @CarolynJLacey: Really impressed w @FENSorg sharing my #scicomm blog on @EJNeuroscience article! Public outreach of science win! https:/…,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
96,"RT @L_Pbusiness: ""VC firms invest $200m in UK tech start-ups after Brexit vote"" - @FT article on  @L_Pbusiness @PitchBook VC report: https:…",Mon Jul 25 15:00:08 +0000 2016,en,,0,0
97,RT @feministculture: Kansas cop fired for threatening Dallas woman's 5-year-old daughter on Facebook https://t.co/LSrQ8aALEf https://t.co/B…,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
98,ripley's believe ot or not type WOW https://t.co/hDd5K8765U,Mon Jul 25 15:00:08 +0000 2016,en,,0,0
